stroke_amplitude,right_stroke_vel,right_motor_torque,right_motor_current,right_motor_voltage,right_motor_output_power,right_motor_efficiency_1,motor_efficiency,time
0.540043764,172.4440881,0.000741204,0.449934992,8.595164122,1.022530396,0.350891522,0.264406595,0.036
0.573765145,168.6069055,0.000589122,0.355915407,7.362210663,0.794640334,0.400539966,0.303260311,0.0362
0.606671178,164.530166,0.000434244,0.260272312,6.104935919,0.571569602,0.471349625,0.359716239,0.0364
0.638715095,160.2195865,0.00027733,0.163447197,4.828914387,0.355469426,0.580289671,0.450376031,0.0366
0.669851363,155.6813362,0.000119013,0.065814191,3.538893129,0.148224817,0.769392312,0.636405508,0.0368
0.700035738,150.9218756,-4.00E-05,-0.032200778,2.240266675,0.048268676,1.178233088,0.669112744,0.037
0.729225318,145.9479009,-0.000198887,-0.130156946,0.93861759,0.232217524,2.719492738,1.900811064,0.0372
0.757378667,140.7667462,-0.000357163,-0.227722403,-0.361810164,0.402213796,-6.804528673,4.881692751,0.0374
0.784455736,135.3853432,-0.000513722,-0.324281726,-1.653264111,0.55640349,-1.432214781,1.037827396,0.0376
0.810418047,129.811556,-0.000668205,-0.419606837,-2.932778531,0.693925742,-0.77412809,0.563885821,0.0378
0.835228712,124.0533277,-0.0008198,-0.513227685,-4.194385904,0.813591394,-0.517271764,0.377944374,0.038
0.858852465,118.1187644,-0.000967771,-0.604715226,-5.432624271,0.914494857,-0.38026641,0.278368888,0.0382
0.881255737,112.0163572,-0.001067769,-0.668715516,-6.332956244,0.956860654,-0.309352548,0.225943998,0.0384
0.902406696,105.754797,-0.001146516,-0.720488485,-7.084452961,0.969996369,-0.261079333,0.190036378,0.0386
0.922275286,99.34294684,-0.001221998,-0.770303621,-7.814301048,0.971174862,-0.222344115,0.161341227,0.0388
0.940833271,92.78992517,-0.001293972,-0.818011925,-8.52049344,0.960540581,-0.190464841,0.137813365,0.039
0.958054279,86.10504413,-0.001362178,-0.863455204,-9.2009057,0.938323232,-0.163672891,0.118108751,0.0392
0.97391384,79.29780325,-0.001426371,-0.906484374,-9.853523012,0.904864658,-0.140749986,0.101305207,0.0394
0.988389415,72.37787599,-0.001486319,-0.946958093,-10.47642357,0.860612954,-0.120829095,0.086748919,0.0396
1.001460426,65.35505535,-0.001541785,-0.984732444,-11.06765152,0.806107388,-0.103276723,0.073963794,0.0398
1.013108307,58.2394049,-0.001592632,-1.01971858,-11.62592916,0.742031429,-0.087612888,0.062591347,0.04
1.023316506,51.04099296,-0.001638603,-1.051763398,-12.14918192,0.669087295,-0.073476899,0.052362177,0.0402
1.032070516,43.77004884,-0.001679555,-1.080776578,-12.63611093,0.588113766,-0.060581823,0.043063764,0.0404
1.039357897,36.43690498,-0.001715339,-1.106664061,-13.08536914,0.500013155,-0.048700592,0.034528654,0.0406
1.045168293,29.05198218,-0.001745822,-1.129342829,-13.49574487,0.405756693,-0.037649364,0.026622144,0.0408
1.049493448,21.62577482,-0.001770892,-1.148741174,-13.8661654,0.306375231,-0.027276839,0.019234243,0.041
1.052327215,14.16883596,-0.001790456,-1.164799062,-14.19570174,0.202949395,-0.017456455,0.012273824,0.0412
1.053665568,6.691762326,-0.001804442,-1.177468416,-14.48357242,0.096599195,-0.008080599,0.00566433,0.0414
1.053506604,-0.794820746,-0.0018128,-1.18671332,-14.72914622,0.011526809,0.000943779,0.000659456,0.0416
1.051850549,-8.280274402,-0.001815534,-1.192530055,-14.93219099,0.120264933,0.009698396,0.006753768,0.0418
